Df,SumOfSqs,R2,F,Pr(>F),var,taxa,Compartment
1,1.73722544154377,0.0166575210556514,5.86113425247599,9.99900009999e-05,Drought,Other-Eukaryotes,Epi
1,1.60642188263723,0.0154033009731366,5.41291895653599,9.99900009999e-05,Radiation,Other-Eukaryotes,Epi
1,1.57245503590528,0.0150776072254508,5.2967138713437,9.99900009999e-05,Runoff,Other-Eukaryotes,Epi
1,1.36833676508627,0.0131204033342913,4.60001358727301,9.99900009999e-05,Vapor_Pressure,Other-Eukaryotes,Epi
1,1.30496891656148,0.0125127957976926,4.38428703438131,9.99900009999e-05,Precipitation,Other-Eukaryotes,Epi
1,1.23333368891859,0.0118259158543921,4.1407348677409,9.99900009999e-05,Min_Temperature,Other-Eukaryotes,Epi
1,1.23328347916306,0.0118254344142519,4.14056427864629,9.99900009999e-05,Snow_Water_Equivalent,Other-Eukaryotes,Epi
1,1.17528003798763,0.0112692639141116,3.94360686077014,9.99900009999e-05,Actual_Evapotranspiration,Other-Eukaryotes,Epi
1,1.12996781432712,0.0108347841386873,3.78989803914761,0.0001999800019998,Soil_Moisture,Other-Eukaryotes,Epi
1,1.11949386656109,0.0107343538771472,3.75438736405052,9.99900009999e-05,Potential_Evapotranspiration,Other-Eukaryotes,Epi
1,1.07428298685237,0.0103008458460747,3.60118794462214,9.99900009999e-05,Wind_Speed,Other-Eukaryotes,Epi
1,0.948972790902851,0.00909929930087676,3.17726847491586,0.0002999700029997,Vapor_Pressure_Deficit,Other-Eukaryotes,Epi
1,0.687583395480316,0.00659294678389678,2.29629896409851,0.0041995800419958,Max_Temperature,Other-Eukaryotes,Epi
1,0.545806629525431,0.00523350925344189,1.82032086779674,0.0196980301969803,Climate_Water_Deficit,Other-Eukaryotes,Epi
1,1.68088478662036,0.0162750265336983,4.59931128964381,0.0001999800019998,Soil_Moisture,Other-Eukaryotes,Endo
1,1.60657990147037,0.015555575690294,4.39278229945184,0.0007999200079992,Drought,Other-Eukaryotes,Endo
1,1.39609755211963,0.0135175979253539,3.80938597114885,0.002999700029997,Runoff,Other-Eukaryotes,Endo
1,1.38681088977384,0.0134276805929523,3.7837015405868,0.0021997800219978,Actual_Evapotranspiration,Other-Eukaryotes,Endo
1,1.35465509082053,0.0131163347557223,3.69480333954889,0.0032996700329967,Wind_Speed,Other-Eukaryotes,Endo
1,1.2224037662661,0.0118358223533418,3.32976917061001,0.0054994500549945,Vapor_Pressure_Deficit,Other-Eukaryotes,Endo
1,1.1598727224348,0.0112303707449777,3.15750299638154,0.0064993500649935,Snow_Water_Equivalent,Other-Eukaryotes,Endo
1,1.12890333274782,0.0109305122163622,3.07226381329177,0.0088991100889911,Potential_Evapotranspiration,Other-Eukaryotes,Endo
1,0.690881244137877,0.00668939993358272,1.87217692171175,0.0716928307169283,Precipitation,Other-Eukaryotes,Endo
1,0.627687364433591,0.00607753047224832,1.69988457156804,0.105989401059894,Radiation,Other-Eukaryotes,Endo
1,0.591585694788006,0.00572797907165884,1.60155183732755,0.125487451254875,Climate_Water_Deficit,Other-Eukaryotes,Endo
1,0.39816044995819,0.00385515529637688,1.0758808601892,0.332366763323668,Max_Temperature,Other-Eukaryotes,Endo
1,0.372142843630529,0.0036032419964907,1.00532369959888,0.372862713728627,Min_Temperature,Other-Eukaryotes,Endo
1,0.212259226063164,0.00205518222527675,0.572517285976738,0.785421457854215,Vapor_Pressure,Other-Eukaryotes,Endo
